,k_ticker,,E_ticker,,S_ticker,,,,,,,
22,VZ,166,ODFL,30,UPS,,,,,,,
30,UPS,1087,FWRD,143,CARR,,,,,,,
143,CARR,246,JBHT,162,TDG,,,,,,,
166,ODFL,1080,HUBG,251,HII,,,,,,,
233,URI,1916,YELL,304,HWM,,,,,,,
246,JBHT,1771,DSKE,326,CHRW,,,,,,,
251,HII,1421,MRTN,361,TDY,,,,,,,
345,BWA,583,XPO,583,XPO,,,,,,,
358,FLT,777,SNDR,601,WWD,,,,,,,
366,CP,1674,PTSI,662,CR,,,,,,,
580,OSK,36,UNP,708,CW,,,,,,,
583,XPO,72,CSX,777,SNDR,,,,,,,
777,SNDR,933,MATX,957,ARNC,,,,,,,
778,VNT,2693,EVOA,1054,WERN,,,,,,,
850,TRTN,2115,MLR,1061,AIN,,,,,,,
852,ALSN,,,1109,MOG-A,,,,,,,
857,BWXT,,,1150,B,,,,,,,
933,MATX,,,1271,INT,,,,,,,
979,NEU,,,1421,MRTN,,,,,,,
1010,CCOI,,,1525,KAMN,,,,,,,
1080,HUBG,,,1532,SHEN,,,,,,,
1087,FWRD,,,1536,HTLD,,,,,,,
1167,IOSP,,,1674,PTSI,,,,,,,
1365,SHYF,,,1696,CNSL,,,,,,,
1422,HEES,,,1771,DSKE,,,,,,,
1444,GBX,,,1887,ATNI,,,,,,,
1532,SHEN,,,2260,USAK,,,,,,,
1569,SMP,,,2475,ISSC,,,,,,,
1674,PTSI,,,2604,UAVS,,,,,,,
1904,MOD,,,2777,AIRI,,,,,,,
1916,YELL,,,,,,,,,,,
1940,IDEX,,,,,,,,,,,
2007,BBCP,,,,,,,,,,,
2039,SGU,,,,,,,,,,,
2115,MLR,,,,,,,,,,,
2129,FF,,,,,,,,,,,
2179,CPS,,,,,,,,,,,
2475,ISSC,,,,,,,,,,,
2479,ASYS,,,,,,,,,,,
2693,EVOA,,,,,,,,,,,
2752,FTEK,,,,,,,,,,,
2953,CHSCP,,,,,,,,,,,
